	host species	locality	season	year	case	Dper	Dcon	Fgib	Scep	Sacsp	Scur	Sobe	Sten	Sbra	Hben	Hspl	Sspa	Lput	Lesp	Leco	Spap	Sdim	Smin	Aadr	Nper	Cbio	Lmed	Lcep	Lcha	Limi	Lszi	Lcon	Lvan	Mcep	Erge
4CEDS15	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	5	0	5	0	1	2	0	0	0	0	0	0	0
4CEDS16	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	20	0	9	1	2	7	1	0	0	0	0	0	0
4CEDS17	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	12	0	0	1	0	0	0	0	0	0	0
4CEDS18	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	2	6	1	0	0	0	0	0	0
4CEDS19	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	8	0	0	0	4	12	2	0	0	0	0	0	0
4CEDS20	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	8	0	1	3	1	0	0	0	0	1	0
4CEDS21	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	1	5	1	0	0	0	0	0	0
4CEDS22	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	19	0	17	57	9	0	0	0	0	0	0
4CEDS23	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	7	0	6	20	3	0	0	0	0	0	0
4CEDS24	Mc	EDS	A	2005	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	0	0	0	0	0
4CEDS25	Mc	EDS	A	2005	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	25	4	0	0	0	0	0	0
4CEDS26	Mc	EDS	A	2005	2	2	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3	0	0	34	0	1	5	1	0	0	0	0	0	0
4CEDS27	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0
